"date","hf_excess_return","market_excess_return","high_minus_low","small_minus_big"
01/10/1951,-2.48142,-2.53,0.25,-0.22
01/11/1951,0.15885,0.57,-0.05,-0.29
01/12/1951,-1.53592,3.33,-1.56,-2.25
01/01/1952,2.82537,1.45,1.54,-0.61
01/02/1952,-2.51003,-2.62,-0.61,0.79
01/03/1952,3.76127,4.44,2.16,-2.99
01/04/1952,-4.57032,-4.97,-0.1,0.48
01/05/1952,2.10982,3.2,0.08,-1.01
01/06/1952,3.56775,3.83,1.23,-1.61
01/07/1952,-0.05062,0.91,-0.35,-0.4
01/08/1952,0.73693,-0.76,0.03,1.18
01/09/1952,-2.69632,-2.03,-1.51,1.15
01/10/1952,-2.59716,-0.66,-0.45,-1.06
01/11/1952,6.42606,5.94,0.95,-0.71
01/12/1952,1.39155,2.93,0.18,-1.48
01/01/1953,5.88072,-0.34,1.32,3.58
01/02/1953,2.26352,-0.27,-0.08,2.15
01/03/1953,-2.76645,-1.43,-0.8,-0.19
01/04/1953,-0.41904,-2.83,1.53,0.28
01/05/1953,0.75556,0.52,0.23,-0.07
01/06/1953,-4.85405,-1.89,-0.47,-1.86
01/07/1953,0.81286,2.4,-0.24,-1.05
01/08/1953,-8.96817,-4.52,-3.54,0.36
01/09/1953,-4.14436,0.2,-2.42,-0.85
01/10/1953,2.7036,4.6,-0.19,-1.37
01/11/1953,1.03185,2.83,-0.17,-1.29
01/12/1953,-4.88616,0.03,-2.84,-0.84
01/01/1954,10.55651,5.13,3.51,0.46
01/02/1954,1.10257,1.67,-0.28,-0.17
01/03/1954,1.09113,3.65,-1.46,-0.49
01/04/1954,-0.47185,4.27,-0.37,-3.48
01/05/1954,6.96738,3.09,2.46,0.39
01/06/1954,1.54172,1.07,-0.03,0.41
01/07/1954,11.9832,4.99,4.11,1.07
01/08/1954,-0.9355,-2.34,-1.36,2.66
01/09/1954,4.22649,6.39,0.66,-2.54
01/10/1954,0.01452,-1.67,0.72,0.59
01/11/1954,12.22177,9.38,4.36,-2.62
01/12/1954,15.9867,5.48,5.71,2.14
01/01/1955,3.88719,0.6,2.18,0.25
01/02/1955,5.81333,3.02,0.62,1.54
01/03/1955,1.69107,-0.16,1.95,-0.66
01/04/1955,2.05451,3.11,0.81,-1.79
01/05/1955,-0.60073,0.93,-0.86,-0.29
01/06/1955,3.51341,6.55,1.92,-4.65
01/07/1955,1.10226,1.9,0.63,-1.36
01/08/1955,0.52951,0.21,0.58,-0.38
01/09/1955,-1.44373,-0.36,-1.06,0.3
01/10/1955,-0.9063,-2.68,-0.03,1.5
01/11/1955,4.75681,7.03,0.5,-2.46
01/12/1955,1.02123,1.49,-2.24,2.08
01/01/1956,-0.99488,-3.03,1.12,0.44
01/02/1956,1.80589,3.77,-0.53,-1.04
01/03/1956,3.54916,6.64,-0.14,-2.42
01/04/1956,0.12114,0.28,-0.18,0.07
01/05/1956,-5.22376,-5.2,-1.33,1.5
01/06/1956,-0.08931,3.48,-1.32,-1.46
01/07/1956,2.80558,4.84,-0.01,-1.68
01/08/1956,-1.84593,-3.18,-0.71,1.9
01/09/1956,-0.83318,-5.14,1.79,1.56
01/10/1956,0.32349,0.52,-0.06,-0.09
01/11/1956,2.52355,0.36,1.78,-0.22
01/12/1956,0.30122,3.16,-2.1,-0.03
01/01/1957,4.36717,-3.58,2.78,3.4
01/02/1957,-3.96087,-2.06,-0.73,-0.72
01/03/1957,1.84567,2.13,-0.47,0.27
01/04/1957,0.28078,4.26,-1.51,-1.6
01/05/1957,-0.63159,3.45,-2.05,-1.07
01/06/1957,-0.05219,-0.74,0.01,0.55
01/07/1957,0.25883,0.66,0.38,-0.76
01/08/1957,-5.71417,-5.11,-0.45,0.06
01/09/1957,-4.74868,-5.98,0.88,0.08
01/10/1957,-9.98183,-4.32,-1.83,-2.52
01/11/1957,-1.13604,2.3,-2.9,0.4
01/12/1957,-7.44544,-3.91,-1.71,-0.93
01/01/1958,15.86997,4.66,4.23,4.36
01/02/1958,-0.28552,-1.52,0.28,0.7
01/03/1958,2.83185,3.27,-0.92,0.63
01/04/1958,4.39118,3.09,1.46,-0.59
01/05/1958,4.62604,2.31,-0.35,2.24
01/06/1958,3.35113,2.93,0.5,-0.24
01/07/1958,9.28766,4.39,3.12,0.47
01/08/1958,3.80678,1.91,0.29,1.19
01/09/1958,8.94584,4.66,2.96,0.15
01/10/1958,2.34021,2.53,-1.18,1.13
01/11/1958,3.83555,3.01,-1.29,2.06
01/12/1958,2.59723,5.15,-0.05,-2.07
01/01/1959,8.50637,0.71,2.98,3.02
01/02/1959,4.24016,0.95,1.05,1.49
01/03/1959,1.63572,0.28,-0.35,1.48
01/04/1959,1.31584,3.66,-1.22,-0.58
01/05/1959,1.65612,1.73,1.87,-2.15
01/06/1959,2.41279,-0.25,1.33,0.68
01/07/1959,3.16308,3.17,0.26,-0.32
01/08/1959,-1.76922,-1.39,0.44,-0.78
01/09/1959,-4.18957,-4.8,0.57,-0.09
01/10/1959,0.26541,1.28,-2.05,1.43
01/11/1959,-1.32384,1.6,-3.27,1.24
01/12/1959,1.68884,2.45,-0.03,-0.6
01/01/1960,-0.76095,-6.98,2.73,2.09
01/02/1960,-0.8974,1.17,-1.99,0.51
01/03/1960,-6.18173,-1.63,-2.85,-0.51
01/04/1960,-4.39272,-1.71,-2.23,0.31
01/05/1960,-0.47762,3.12,-3.76,1.21
01/06/1960,1.36275,2.08,-0.34,-0.22
01/07/1960,-0.28628,-2.37,2.01,-0.51
01/08/1960,3.89185,3.01,-0.17,0.88
01/09/1960,-5.29743,-5.99,1.55,-1.1
01/10/1960,-2.01357,-0.71,2.66,-4
01/11/1960,1.78306,4.69,-2.52,0.39
01/12/1960,1.77868,4.71,-0.76,-1.58
01/01/1961,12.15261,6.2,3.7,0.66
01/02/1961,7.50622,3.57,-0.74,3.98
01/03/1961,5.87735,2.89,-0.83,3.31
01/04/1961,3.25795,0.29,2.1,0.07
01/05/1961,5.45294,2.4,0.4,2
01/06/1961,-6.41801,-3.08,-0.21,-2.45
01/07/1961,0.39508,2.83,-0.11,-1.88
01/08/1961,0.05654,2.57,-0.28,-1.75
01/09/1961,-4.25525,-2.15,-0.58,-1.05
01/10/1961,0.78164,2.57,0.12,-1.61
01/11/1961,4.409,4.45,-1.19,1.24
01/12/1961,1.29413,-0.18,1.83,-0.83
01/01/1962,5.23575,-3.87,5.09,1.78
01/02/1962,1.56243,1.81,0.85,-1.16
01/03/1962,-1.98944,-0.68,-1.43,0.53
01/04/1962,-7.47368,-6.59,0.03,-0.68
01/05/1962,-9.06472,-8.65,2.78,-3.33
