date,ticker,price,sp500_price,risk_free_rate,market_excess,stock_excess
20160831,c0a86d51,44.15,2170.95,2.00E-04,-0.001434483,-0.028739071
20160930,c0a86d51,42.89,2168.27,2.00E-04,-0.019625625,0.043399907
20161031,c0a86d51,44.76,2126.15,2.00E-04,0.034074447,0.108479088
20161130,c0a86d51,49.62,2198.81,1.00E-04,0.017900754,0.034968037
20161230,c0a86d51,51.37,2238.83,3.00E-04,0.017484341,0.024517267
20170131,c0a86d51,52.65,2278.87,4.00E-04,0.036798261,0.044234378
20170228,c0a86d51,55,2363.64,4.00E-04,-0.00068923,-0.063936364
20170331,c0a86d51,51.5,2362.72,3.00E-04,0.008591217,-0.004771845
20170428,c0a86d51,51.28,2384.2,5.00E-04,0.01097621,-0.008205304
20170531,c0a86d51,50.89,2411.8,6.00E-04,0.004213832,0.019639733
20170630,c0a86d51,51.92,2423.41,6.00E-04,0.018648769,0.015863945
20170731,c0a86d51,52.78,2470.3,7.00E-04,-0.000353508,-0.029888253
20170831,c0a86d51,51.25,2471.65,9.00E-04,0.018402895,0.044758537
20170929,c0a86d51,53.59,2519.36,9.00E-04,0.021288175,0.013841556
20171031,c0a86d51,54.38,2575.26,9.00E-04,0.027282601,0.013359618
20171130,c0a86d51,55.15,2647.58,8.00E-04,0.00893162,-0.029367815
20171229,c0a86d51,53.58,2673.61,9.00E-04,0.055078725,0.065342703
20180131,c0a86d51,57.14,2823.81,0.0011,-0.04004738,-0.049752433
20180228,c0a86d51,54.36,2713.83,0.0011,-0.028084514,-0.072208094
20180329,c0a86d51,50.5,2640.87,0.0012,0.001318801,-0.002390099
20180430,c0a86d51,50.45,2648.05,0.0014,0.020208353,-0.010517939
20180531,c0a86d51,49.99,2705.27,0.0014,0.0034424,-0.00079988
20180629,c0a86d51,50.02,2718.37,0.0014,0.034421586,0.05817609
20180731,c0a86d51,53.01,2816.29,0.0016,0.028663219,0.019150802
20180831,c0a86d51,54.11,2901.52,0.0016,0.002794301,-0.025525134
20180928,c0a86d51,52.81,2913.98,0.0015,-0.071303359,-0.012125336
20181031,c0a86d51,52.27,2711.74,0.0019,0.016059382,0.040097838
20181130,c0a86d51,54.46,2760.17,0.0018,-0.093676956,-0.162752001
20181231,c0a86d51,45.7,2506.85,0.0019,0.076584405,0.117374836
20190131,c0a86d51,51.16,2704.1,0.0021,0.02792893,0.008559656
20190228,c0a86d51,51.69,2784.49,0.0018,0.016024288,-0.069611356
20190329,c0a86d51,48.19,2834.4,0.0019,0.037213435,0.104353621
20190430,c0a86d51,53.32,2945.83,0.0021,-0.067877726,-0.060614629
20190531,c0a86d51,50.2,2752.06,0.0021,0.067130183,0.042024701
20190628,c0a86d51,52.4,2941.76,0.0018,0.011228195,0.088748855
20190731,c0a86d51,57.15,2980.38,0.0019,-0.019691653,-0.079640245
20190830,c0a86d51,52.69,2926.46,0.0016,0.015381168,0.048494173
20190930,c0a86d51,55.34,2976.74,0.0018,0.018931747,0.028857788
20191031,c0a86d51,57.02,3037.56,0.0015,0.032847064,0.051588495
20191129,c0a86d51,60.03,3140.98,0.0012,0.027189803,-0.01372717
20191231,c0a86d51,59.29,3230.78,0.0014,-0.667612775,-0.593354697
20100129,b9aae40e,24.11,1073.87,0,0.028513693,-0.094151804
20100226,b9aae40e,21.84,1104.49,0,0.058696368,-0.043140293
20100331,b9aae40e,20.9,1169.43,1.00E-04,0.014659327,0.15635933
20100430,b9aae40e,24.17,1186.69,1.00E-04,-0.082075916,-0.034026355
20100528,b9aae40e,23.35,1089.41,1.00E-04,-0.053982377,-0.091748822
20100630,b9aae40e,21.21,1030.71,1.00E-04,0.068677833,0.069206931
20100730,b9aae40e,22.68,1101.6,1.00E-04,-0.047549165,-0.104156437
20100831,b9aae40e,20.32,1049.33,1.00E-04,0.087451104,0.024506299
20100930,b9aae40e,20.82,1141.2,1.00E-04,0.036755941,-0.043807973
20101029,b9aae40e,19.91,1183.26,1.00E-04,-0.002390283,-0.026719789
20101130,b9aae40e,19.38,1180.55,1.00E-04,0.065200072,0.008155934
20101231,b9aae40e,19.54,1257.64,1.00E-04,0.02254559,0.061824258
20110131,b9aae40e,20.75,1286.12,1.00E-04,0.031856583,-0.036726506
20110228,b9aae40e,19.99,1327.22,1.00E-04,-0.001147302,0.077438769
20110331,b9aae40e,21.54,1325.83,1.00E-04,0.028495358,0.123491179
20110429,b9aae40e,24.2,1363.61,0,-0.013500928,0.023140496
20110531,b9aae40e,24.76,1345.2,0,-0.018257508,-0.00726979
20110630,b9aae40e,24.58,1320.64,0,-0.021474437,-0.002441009
20110729,b9aae40e,24.52,1292.28,0,-0.056891098,-0.044145677
20110831,b9aae40e,23.44,1218.89,1.00E-04,-0.071762013,-0.095136519
20110930,b9aae40e,21.21,1131.42,0,0.107723038,0.00990099
20111031,b9aae40e,21.42,1253.3,0,-0.005058645,-0.081232493
20111130,b9aae40e,19.68,1246.96,0,0.008532752,-0.079268293
20111230,b9aae40e,18.12,1257.6,0,0.043583015,-0.068432671
20120131,b9aae40e,16.88,1312.41,0,0.04058945,0.013033175
20120229,b9aae40e,17.1,1365.68,0,0.031332377,-0.083625731
20120330,b9aae40e,15.67,1408.47,0,-0.007497497,0.084875558
20120430,b9aae40e,17,1397.91,0,-0.062750671,-0.098923529
20120531,b9aae40e,15.32,1310.33,1.00E-04,0.039554921,0.133159269
20120629,b9aae40e,17.36,1362.16,0,0.012597639,0.141705069
20120731,b9aae40e,19.82,1379.32,0,0.019663362,0.076590212
20120831,b9aae40e,21.34,1406.58,1.00E-04,0.02413609,0.002243018
20120928,b9aae40e,21.39,1440.67,1.00E-04,-0.019889404,0.007847639
20121031,b9aae40e,21.56,1412.16,1.00E-04,0.002746703,-0.021435807
20121130,b9aae40e,21.1,1416.18,1.00E-04,0.006968311,0.08947346
20121231,b9aae40e,22.99,1426.19,1.00E-04,0.050428064,0.043932144
20130131,b9aae40e,24,1498.11,0,0.011060603,0
20130228,b9aae40e,24,1514.68,0,0.035987799,0.10375
20130328,b9aae40e,26.49,1569.19,0,0.018085764,0.05209513
20130430,b9aae40e,27.87,1597.57,0,0.020762783,-0.084320057
20130531,b9aae40e,25.52,1630.74,0,-0.014999325,0.046238245
20130628,b9aae40e,26.7,1606.28,0,0.049462111,0.004494382
20130731,b9aae40e,26.82,1685.73,0,-0.031298013,-0.021252796
20130830,b9aae40e,26.25,1632.97,0,0.029749475,0.041142857
20130930,b9aae40e,27.33,1681.55,0,0.04459576,0.043907794
20131031,b9aae40e,28.53,1756.54,0,0.028049461,-0.072555205
20131129,b9aae40e,26.46,1805.81,0,0.023562833,0.085411943
20131231,b9aae40e,28.72,1848.36,0,-0.035582895,-0.030292479
20140131,b9aae40e,27.85,1782.59,0,0.043117038,0.043806104
20140228,b9aae40e,29.07,1859.45,0,0.006932157,0.093911249
20140331,b9aae40e,31.8,1872.34,0,0.006200797,0.028930818
20140430,b9aae40e,32.72,1883.95,0,0.021030282,0.089242054
20140530,b9aae40e,35.64,1923.57,0,0.019058313,0.043771044
20140630,b9aae40e,37.2,1960.23,0,-0.015079863,-0.167741935
20140731,b9aae40e,30.96,1930.67,0,0.037655322,-0.005813953
20140829,b9aae40e,30.78,2003.37,0,-0.015513859,-0.009746589
20140930,b9aae40e,30.48,1972.29,0,0.023201456,-0.016404199
20141031,b9aae40e,29.98,2018.05,0,0.024533584,0.04269513
20141128,b9aae40e,31.26,2067.56,0,-0.004188512,-0.13787588
20141231,b9aae40e,26.95,2058.9,0,-0.031040847,-0.084972171
20150130,b9aae40e,24.66,1994.99,0,0.054892506,-0.02757502
20150227,b9aae40e,23.98,2104.5,0,-0.017396056,0.050458716
20150331,b9aae40e,25.19,2067.89,0,0.008520763,0.001984915
20150430,b9aae40e,25.24,2085.51,0,0.010491439,-0.001584786
